incoming link	outcoming link	prob
100037	100054	0.65
100037	200053	0.35
100053	100054	0.74
100053	200037	0.26
200054	200037	0.9
200054	200053	0.1
10005	10003	0.17
10005	200054	0.83
10002	10003	1
100057	10003	0
100057	200054	1
20003	100058	0
20003	200054	1
10003	10004	0.31
10003	10008	0.69
100038	10008	0.38
100038	100040	0.62
100039	10004	0.67
100039	20003	0.33
20008	100040	0.43
20008	20003	0.57
10008	100011	0.62
10008	100041	0
10008	100036	0.38
100042	100011	1
100042	100041	0
200011	100041	0
200011	100036	0
200011	20008	1
100011	100014	0.75
100011	100043	0.19
100011	100060	0.06
100044	100014	0.08
100044	100043	0.73
100044	200011	0.19
100061	100014	0.08
100061	100060	0.51
100061	200011	0.41
200014	100043	0.26
200014	100060	0.03
200014	200011	0.71
100014	100017	0.58
100014	100045	0.11
100014	100062	0.31
100046	100017	0.56
100046	100045	0.44
100063	100062	0.43
100063	200014	0.57
200017	100045	0.2
200017	100062	0.08
200017	200014	0.72
100017	100020	0.73
100017	100047	0.17
100017	100065	0.1
100048	100020	0.11
100048	100047	0.72
100048	200017	0.17
100064	100020	0.52
100064	100065	0.2
100064	200017	0.28
200020	100047	0.27
200020	100065	0.05
200020	200017	0.68
100020	100021	0.98
100020	100050	0.02
100049	100021	1
100066	100021	0.08
100066	100050	0.37
100066	200020	0.55
200021	100050	0.05
200021	200020	0.95
100021	100022	0.6
100021	100023	0.4
200023	100022	0.08
200023	200021	0.92
100028	100032	0.55
100028	100051	0.45
100067	100032	0.47
100067	200028	0.53
200032	100051	0.29
200032	200028	0.71
100032	100033	0.66
100032	100052	0.34
100068	100033	0.35
100068	200032	0.65
200033	100052	0.25
200033	200032	0.75
100033	100035	0.49
100033	100072	0.07
100033	100073	0.44
100054	100056	0.1
100054	10002	0.9
100023	100024	0.94
100023	100025	0.06
100024	100028	1
100027	100028	0.93
100027	200023	0.07
200028	200023	0.72
200028	200027	0.28
100071	200033	0.77
100071	100072	0.12
100071	100035	0.11
100070	200033	0.22
100070	100035	0.71
100070	100073	0.07
100074	100072	0.58
100074	200033	0.18
100074	100073	0.24
100035	100069	0.31
100035	100075	0.69
100059	20008	1
